Date,SPX,DXY,UST2Y,UST5Y,UST10Y
31.12.1999,1469.25,101.87,6.213,6.342,6.442
03.01.2000,1455.22,100.22,6.375,6.511,6.594
04.01.2000,1399.42,100.41,6.294,6.396,6.494
05.01.2000,1402.11,100.38,6.362,6.489,6.594
06.01.2000,1403.45,100.65,6.311,6.419,6.533
07.01.2000,1441.47,100.8,6.303,6.413,6.515
10.01.2000,1457.6,100.99,6.359,6.467,6.554
11.01.2000,1438.56,100.56,6.407,6.56,6.641
12.01.2000,1432.25,100.62,6.467,6.607,6.7
13.01.2000,1449.68,101,6.39,6.53,6.632
14.01.2000,1465.15,101.72,6.43,6.585,6.679
17.01.2000,1465.15,102.05,6.434,6.585,6.679
18.01.2000,1455.14,101.86,6.465,6.625,6.739
19.01.2000,1455.9,101.76,6.443,6.609,6.73
20.01.2000,1445.57,101.36,6.479,6.665,6.783
21.01.2000,1441.36,101.76,6.453,6.642,6.77
24.01.2000,1401.53,102.2,6.41,6.564,6.687
25.01.2000,1410.03,102.41,6.436,6.596,6.691
26.01.2000,1404.09,102.44,6.446,6.588,6.664
27.01.2000,1398.56,103.17,6.527,6.675,6.678
28.01.2000,1360.16,104.48,6.54,6.668,6.637
31.01.2000,1394.46,105.13,6.595,6.685,6.663
01.02.2000,1409.28,104.92,6.578,6.677,6.614
02.02.2000,1409.12,104.79,6.591,6.662,6.566
03.02.2000,1424.97,103.8,6.528,6.513,6.439
04.02.2000,1424.37,104.29,6.626,6.655,6.536
07.02.2000,1424.24,104.64,6.669,6.735,6.638
08.02.2000,1441.72,104.22,6.665,6.727,6.609
09.02.2000,1411.7,103.68,6.648,6.728,6.636
10.02.2000,1416.83,104.13,6.661,6.768,6.678
11.02.2000,1387.12,104.19,6.623,6.706,6.596
14.02.2000,1389.94,104.72,6.597,6.674,6.556
15.02.2000,1402.05,104.69,6.628,6.706,6.556
16.02.2000,1387.67,104.28,6.611,6.699,6.541
17.02.2000,1388.26,104.27,6.685,6.739,6.567
18.02.2000,1346.09,104.63,6.634,6.685,6.491
21.02.2000,1346.09,104.58,6.634,6.685,6.491
22.02.2000,1352.17,103.28,6.546,6.558,6.354
23.02.2000,1360.69,103.53,6.616,6.63,6.418
24.02.2000,1353.43,104.01,6.517,6.551,6.35
25.02.2000,1333.36,105.26,6.403,6.473,6.331
28.02.2000,1348.05,105.27,6.5,6.576,6.422
29.02.2000,1366.42,105.92,6.521,6.593,6.409
01.03.2000,1379.19,104.89,6.496,6.577,6.384
02.03.2000,1381.76,105.65,6.508,6.593,6.384
03.03.2000,1409.17,106,6.499,6.595,6.383
06.03.2000,1391.28,106.16,6.516,6.619,6.409
07.03.2000,1355.62,106.09,6.465,6.563,6.371
08.03.2000,1366.7,105.93,6.482,6.58,6.379
09.03.2000,1401.69,105.37,6.477,6.556,6.347
10.03.2000,1395.07,105.71,6.533,6.597,6.379
13.03.2000,1383.62,105.5,6.511,6.574,6.366
14.03.2000,1359.15,105.3,6.463,6.494,6.294
15.03.2000,1392.15,105.38,6.493,6.486,6.281
16.03.2000,1458.47,105.18,6.463,6.471,6.243
