date,Copper_cash,Copper_12m,Nickel_cash,Nickel_12m,CokingCoal_12m,CokingCoal_cash,IronOre_cash,IronOre_12m,ThermalCoal_cash,ThermalCoal_12m,Platinum_cash,Platinum_12m,NatGas_cash,NatGas_12m
31.12.1999,1861.75,1935.5,8446,7985,,,,,,,430.2,,2.329,2.72
07.01.2000,1857,1923.25,8207,7875,,,,,,,396,,2.173,2.694
14.01.2000,1863.75,1940,8163,7985,,,,,,,410.4,,2.322,2.735
21.01.2000,1891.5,1966.25,8495,8012,,,,,,,427,,2.485,2.82
28.01.2000,1827.25,1913.5,8635,8135,,,,,,,453.8,,2.532,2.683
04.02.2000,1798.5,1874.25,9110,8357,,,,,,,479.5,,2.74,2.708
11.02.2000,1849,1929,9850,8762,,,,,,,526.4,,2.57,2.797
18.02.2000,1819,1901.5,9921,8866,,,,,,,503.2,,2.633,2.835
25.02.2000,1799.5,1882.5,10145,8903,,,,,,,452.1,,2.603,2.847
03.03.2000,1746,1819.75,10235,8870,,,,,,,459.5,,2.755,2.835
10.03.2000,1738.5,1814.5,10515,8810,,,,,,,470.7,,2.774,2.839
17.03.2000,1783,1857,10345,8470,,,,,,,484.8,,2.785,2.84
24.03.2000,1758.5,1837,10272,8505,,,,,,,478.7,,2.836,2.85
31.03.2000,1740.5,1817.5,10175,8395,,,,,,,496.4,,2.945,2.735
07.04.2000,1668.25,1742,9305,7860,,,,,,,462.9,,2.971,2.753
14.04.2000,1649.5,1726,9555,8275,,,,,,,487.6,,3.078,2.825
21.04.2000,1676.5,1759.5,9540,8125,,,,,,,462.8,,3.073,2.836
28.04.2000,1730,1806.5,10035,8560,,,,,,,498.7,,3.141,2.83
05.05.2000,1799.5,1848,9880,8480,,,,,,,473.4,,3.025,2.815
12.05.2000,1818.25,1844.5,10105,8590,,,,,,,484.8,,3.354,3.005
19.05.2000,1821.5,1837,10525,8980,,,,,,,524.4,,3.825,3.335
26.05.2000,1807,1830.5,10330,8690,,,,,,,539.4,,4.406,3.672
02.06.2000,1737.75,1761.75,9239,7925,,,,,,,552.3,,4.043,3.457
09.06.2000,1739.25,1768.75,8415,7306,,,,,,,537.8,,4.16,3.396
16.06.2000,1790.25,1810.25,8035,6991,,,,,,,534.1,,4.488,3.601
23.06.2000,1763.25,1776,7800,6875,,,,,,,551.1,,4.448,3.515
30.06.2000,1776.25,1779.25,8282,7120,,,,,,,565.5,,4.476,3.438
07.07.2000,1756.25,1762,8315,7235,,,,,,,530.5,,4.262,3.463
14.07.2000,1786.25,1793.5,8097,7320,,,,,,,562,,4.15,3.622
21.07.2000,1851,1864.5,8120,7295,,,,,,,578.2,,3.834,3.453
28.07.2000,1859.75,1871.75,7685,7055,,,,,,,565.7,,3.845,3.582
04.08.2000,1861.75,1864.25,7452,6860,,,,,,,572.8,,4.296,3.703
11.08.2000,1856.5,1855.5,7710,6825,,,,,,,566.4,,4.47,3.61
18.08.2000,1872,1875,8010,7100,,,,,,,564.8,,4.436,3.691
25.08.2000,1857.25,1871,8595,7525,,,,,,,580.7,,4.628,3.76
01.09.2000,1918.25,1931,8450,7450,,,,,,,595.3,,4.835,3.935
08.09.2000,1970,1970,8680,7640,,,,,,,612.1,,4.88,4.119
15.09.2000,1998.25,1984,8630,7500,,,,,,,592,,5.21,4.32
22.09.2000,1994.75,1988,8725,7420,,,,,,,584.5,,5.131,4.45
29.09.2000,1982.75,1978.25,8500,7445,,,,,,,578.8,,5.186,4.415
06.10.2000,1958.75,1926,8050,7105,,,,,,,570.8,,5.008,4.346
13.10.2000,1935.5,1925.5,7725,6990,,,,,,,575.3,,5.537,4.712
20.10.2000,1873,1868,7350,6480,,,,,,,583.5,,4.937,4.323
27.10.2000,1831,1837.75,7160,6380,,,,,,,566.5,,4.541,3.98
03.11.2000,1831.75,1832.5,7410,6810,,,,,,,590.3,,4.931,4.409
10.11.2000,1807.5,1805.5,7340,6690,,,,,,,592.6,,5.456,4.535
17.11.2000,1790.25,1807.75,7110,6550,,,,,,,585.5,,6.1,4.53
24.11.2000,1796.75,1826.5,7295,6585,,,,,,,583.3,,6.577,4.615
01.12.2000,1843,1855.5,7367,6755,,,,,,,611.3,,6.673,5.07
08.12.2000,1911,1908,7505,6895,,,,,,,607.9,,8.584,5.126
15.12.2000,1897,1892,7140,6675,,,,,,,610.7,,8.396,5.24
22.12.2000,1834.75,1837,7175,6610,,,,,,,610.1,,9.579,5.315
29.12.2000,1809,1827,7065,6550,,,,,,,609.6,,9.775,5.49
05.01.2001,1754.5,1765.5,6470,6185,,,,,,,619.7,,9.261,5.72
12.01.2001,1817.75,1814.5,7145,6770,,,,,,,633.1,,8.472,6.28
19.01.2001,1831,1824.5,6998,6560,,,,,,,615.8,,7.459,5.81
26.01.2001,1804,1815.25,6680,6285,,,,,,,612.1,,7.256,5.865
02.02.2001,1809.5,1817.25,6775,6325,,,,,,,597,,6.743,5.528
09.02.2001,1774.25,1791.25,6415,6040,,,,,,,593.5,,6.21,5.61
16.02.2001,1783,1804.25,6405,6039,,,,,,,600.1,,5.568,5.435
23.02.2001,1731.75,1768,6210,5883,,,,,,,598.5,,5.131,5.26
02.03.2001,1796,1807,6365,6095,,,,,,,581.1,,5.27,5.035
09.03.2001,1801.75,1827,6200,6002,,,,,,,593.3,,5.072,4.928
16.03.2001,1739.25,1775,5980,5836,,,,,,,580.4,,5.035,4.907
23.03.2001,1709.5,1743,6210,5896,,,,,,,566.8,,5.273,5.066
30.03.2001,1666.5,1711,5865,5639,,,,,,,555,,5.025,4.45
06.04.2001,1649.75,1696.5,6173,5869,,,,,,,554.5,,5.388,4.712
13.04.2001,1683,1734.25,6440,6113,,,,,,,577.3,,5.381,4.75
20.04.2001,1696.5,1752,6497,6177,,,,,,,608.4,,5.128,4.76
27.04.2001,1665.25,1722,6560,6235,,,,,,,593.1,,4.867,4.51
04.05.2001,1703.75,1743.25,6665,6450,,,,,,,618.8,,4.49,4.38
11.05.2001,1673,1721,7370,7117,,,,,,,607.8,,4.278,4.15
18.05.2001,1706,1748.25,7320,7047,,,,,,,616.3,,4.291,4.24
25.05.2001,1730.25,1776.5,7310,7051,,,,,,,622,,3.973,3.965
01.06.2001,1670,1718.75,7005,6756,,,,,,,588.8,,3.93,3.81
08.06.2001,1641.5,1697.25,6990,6736,,,,,,,593.6,,3.922,3.892
15.06.2001,1602.75,1660.25,6693,6492,,,,,,,583.2,,3.979,3.795
22.06.2001,1606,1658.5,6284,6071,,,,,,,574,,3.742,3.621
29.06.2001,1556.25,1619.5,6080,5899,,,,,,,560.1,,3.096,3.455
06.07.2001,1551.25,1617,6085,5855,,,,,,,557.4,,3.218,3.755
13.07.2001,1540.75,1610.25,5957,5771,,,,,,,551.1,,3.25,3.661
20.07.2001,1527.25,1605.25,5987,5795,,,,,,,503.3,,2.955,3.457
27.07.2001,1483.75,1565.5,5820,5740,,,,,,,503.7,,3.167,3.64
03.08.2001,1482.25,1550.25,5665,5583,,,,,,,480.6,,2.971,3.455
10.08.2001,1450.75,1523.5,5258,5292,,,,,,,450.6,,3.04,3.568
17.08.2001,1497,1567.25,5777,5832,,,,,,,450.8,,3.303,3.74
24.08.2001,1500.25,1572.5,5662,5752,,,,,,,452.9,,2.706,3.399
31.08.2001,1482.5,1555.5,5443,5534,,,,,,,443,,2.38,3.159
07.09.2001,1433.5,1497.75,5096,5218,,,,,,,444,,2.5,3.158
14.09.2001,1443.75,1501.5,5286,5389,,,,,,,438.3,,2.552,3.36
21.09.2001,1434.25,1499.25,4904,5015,,,,,,,483.4,,2.103,3.017
28.09.2001,1417,1481.75,4830,4930,,,,,,,433.3,,2.244,2.927
05.10.2001,1396.75,1449.5,4815,4900,,,,,,,427,,2.227,2.868
12.10.2001,1401,1452.25,5417,5464,,,,,,,435,,2.43,2.958
19.10.2001,1360.5,1423.25,4576,4658,,,,,,,423,,2.681,3.214
26.10.2001,1381.75,1445,4545,4611,,,,,,,423.4,,3.041,3.305
02.11.2001,1345.75,1397.5,4355,4426,,,,,,,420.7,,3.248,3.577
09.11.2001,1401,1448,4897,4945,,,,,,,422.6,,2.925,3.467
16.11.2001,1487.5,1538.5,5495,5462,,,,,,,427.9,,2.637,3.297
23.11.2001,1468.5,1528,5171,5202,,,,,,,442,,2.813,3.297
30.11.2001,1556.25,1616.25,5255,5297,,,,,,,449.3,,2.701,3.331
07.12.2001,1478.25,1537.5,5125,5147,,,,,,,470,,2.568,3.263
14.12.2001,1459.25,1522.25,5020,4979,,,,,,,467.6,,2.846,3.371
21.12.2001,1468,1539,5630,5603,,,,,,,471.3,,2.895,3.377
28.12.2001,1464.25,1535,5673,5609,,,,,,,486.5,,2.774,3.41
04.01.2002,1458.25,1519,5790,5783,,,,,,,473.2,,2.275,3.168
11.01.2002,1520.75,1583.25,6010,5924,,,,,,,480.4,,2.204,3.044
18.01.2002,1509.75,1577.75,5790,5697,,,,,,,480.3,,2.236,3.057
25.01.2002,1535,1602.75,6050,5846,,,,,,,464.7,,2.037,3.038
01.02.2002,1591.25,1650.25,5993,5896,,,,,,,450.1,,2.138,2.931
08.02.2002,1590,1650.5,6070,5994,,,,,,,475.8,,2.191,2.981
15.02.2002,1591,1650.75,6065,6000,,,,,,,475,,2.206,3.071
22.02.2002,1527.75,1590,5885,5835,,,,,,,474.5,,2.449,3.258
01.03.2002,1581.5,1634.5,6150,6105,,,,,,,497.9,,2.359,3.171
08.03.2002,1616.5,1671.25,6459,6438,,,,,,,518,,2.8,3.462
15.03.2002,1615,1671.5,6730,6723,,,,,,,513.4,,3.076,3.576
22.03.2002,1615.75,1680.25,6553,6558,,,,,,,515,,3.326,3.801
29.03.2002,1634.75,1696,6702,6672,,,,,,,521.7,,3.283,3.506
05.04.2002,1579.25,1632.25,6730,6660,,,,,,,527.5,,3.275,3.421
12.04.2002,1557.5,1613.5,6839,6794,,,,,,,533.1,,3.125,3.363
19.04.2002,1598,1652.25,7044,6997,,,,,,,551.6,,3.527,3.583
26.04.2002,1605.25,1657.5,7128,7081,,,,,,,547.9,,3.319,3.554
03.05.2002,1581.75,1614.75,6857,6833,,,,,,,517,,3.745,3.808
10.05.2002,1609.75,1640.5,7074,7030,,,,,,,520.8,,3.749,3.919
17.05.2002,1579.25,1622.5,6734,6740,,,,,,,537.7,,3.598,3.898
24.05.2002,1607.75,1651,6621,6632,,,,,,,537.5,,3.347,3.773
31.05.2002,1645.25,1696.25,6891,6903,,,,,,,545.9,,3.217,3.623
07.06.2002,1682.75,1726.75,7073,7072,,,,,,,563.6,,3.204,3.595
14.06.2002,1655.25,1702.25,7273,7255,,,,,,,562.7,,3.342,3.766
21.06.2002,1624,1678.5,7248,7158,,,,,,,562.7,,3.237,3.811
28.06.2002,1673.75,1724.5,7145,6992,,,,,,,537.3,,3.245,3.784
05.07.2002,1657,1702.5,7217,7068,,,,,,,519.5,,3.142,3.792
12.07.2002,1626.05,1675,7695,7536,,,,,,,524,,2.787,3.673
19.07.2002,1577.75,1635,7403,7212,,,,,,,520.6,,2.933,3.695
26.07.2002,1516.25,1573.75,6575,6483,,,,,,,523.2,,2.936,3.581
02.08.2002,1492,1547,6654,6530,,,,,,,519.7,,2.858,3.593
09.08.2002,1490.5,1545.75,6830,6684,,,,,,,545.5,,2.761,3.601
16.08.2002,1485.25,1539.25,6776,6675,,,,,,,557,,3.149,3.738
23.08.2002,1495.25,1553,6765,6674,,,,,,,546.2,,3.487,3.895
30.08.2002,1497.75,1557.25,6649,6580,,,,,,,565.8,,3.296,3.845
06.09.2002,1481,1534.25,6690,6594,,,,,,,542.4,,3.265,3.782
13.09.2002,1516.25,1571.5,6906,6772,,,,,,,554.9,,3.467,3.933
20.09.2002,1477.25,1540,6637,6527,,,,,,,558,,3.758,3.875
27.09.2002,1455.5,1518.25,6495,6369,,,,,,,559,,4.041,3.934
04.10.2002,1447.75,1503.5,6581,6479,,,,,,,556.9,,3.739,3.824
11.10.2002,1483.25,1536.5,6495,6391,,,,,,,578.1,,4.146,3.909
18.10.2002,1500.75,1554.25,6824,6672,,,,,,,583.9,,4.239,3.995
25.10.2002,1537.75,1586.5,7173,6998,,,,,,,586.8,,4.028,3.94
01.11.2002,1578.5,1621,7428,7236,,,,,,,577.6,,4.156,4.058
08.11.2002,1562,1610.75,7366,7238,,,,,,,582.4,,3.903,3.991
15.11.2002,1569.25,1616.25,7116,7020,,,,,,,598.1,,3.981,4.016
22.11.2002,1607,1650,7373.5,7281,,,,,,,589.9,,4.26,4.099
29.11.2002,1649,1689,7489,7346,,,,,,,581.9,,4.2,4.19
06.12.2002,1615.75,1656.25,7175,7145,,,,,,,597.8,,4.383,4.366
13.12.2002,1591.75,1631.5,7055,7019,,,,,,,601.7,,5.284,4.605
20.12.2002,1573.25,1617,7197.5,7128,,,,,,,586.5,,5.183,4.675
27.12.2002,1580.75,1624.75,7253,7179,,,,,,,594.1,,4.988,4.815
03.01.2003,1603.5,1642.5,7424,7404,,,,,,,599.5,,5.251,5.053
10.01.2003,1627.5,1667.75,7889.5,7845.5,,,,,,,611.3,,5.143,5.027
17.01.2003,1657.25,1701.25,8006,7899,,,,,,,619,,5.536,5.148
24.01.2003,1681,1723.75,8572,8362,,,,,,,635.1,,5.524,5.087
31.01.2003,1723.5,1764.5,8193,8076,,,,,,,658.9,,5.605,4.944
07.02.2003,1673.25,1709.25,8371,8170,,,,,,,673.6,,6.043,5.228
14.02.2003,1654,1691.75,8586,8245,,,,,,,675,,5.851,5.497
21.02.2003,1696.75,1729,8825,8230,,,,,,,659,,6.606,5.711
28.02.2003,1700.75,1728.5,8760,8200,,,,,,,672.5,,8.101,4.876
07.03.2003,1670,1700.75,8819,8279,,,,,,,683.6,,6.993,5
14.03.2003,1650.25,1680.5,8105,7818,,,,,,,683.6,,5.429,4.654
21.03.2003,1693,1726.75,8212,8019,,,,,,,652.1,,5.128,4.563
28.03.2003,1592.75,1634.5,7862,7716,,,,,,,634.7,,5.146,4.441
04.04.2003,1577.25,1615.5,7912,7790,,,,,,,609,,4.943,4.473
11.04.2003,1594.75,1634,8111,7967,,,,,,,613.7,,5.411,4.643
18.04.2003,1617.5,1655.5,8191,8025,,,,,,,624.7,,5.709,4.755
25.04.2003,1570.5,1611.25,7848,7737,,,,,,,624,,5.477,4.684
02.05.2003,1580.75,1613,8036,7937,,,,,,,597.1,,5.255,4.67
09.05.2003,1618,1654,8072.5,7969,,,,,,,634.1,,5.806,4.986
16.05.2003,1665.75,1698.75,8389,8230,,,,,,,645.9,,6.122,4.92
23.05.2003,1673,1709,8455,8293,,,,,,,664,,6.119,4.904
30.05.2003,1700.25,1732.75,8925,8652,,,,,,,636.8,,6.251,5.071
06.06.2003,1711,1739.5,9220,8821,,,,,,,653.5,,6.51,5.217
13.06.2003,1671.5,1704.75,8681,8346,,,,,,,664.6,,5.675,5.103
20.06.2003,1697.25,1728.5,8539,8162,,,,,,,668.8,,5.805,5.016
27.06.2003,1670.75,1699,8550,8190,,,,,,,673.2,,5.362,4.857
04.07.2003,1654.75,1674.75,8440,8164,,,,,,,667,,5.226,4.846
11.07.2003,1707,1726.25,8845,8570,,,,,,,675.2,,5.154,4.811
18.07.2003,1714.5,1729,8810,8570,,,,,,,684.6,,5.022,4.703
25.07.2003,1747.5,1755.75,9276,8891,,,,,,,690.2,,4.706,4.575
01.08.2003,1786,1776.25,9124,8730,,,,,,,678.9,,4.874,4.709
08.08.2003,1755.5,1751,8960,8540,,,,,,,680.9,,5.037,4.86
15.08.2003,1731,1737,9238,8690,,,,,,,696.5,,4.848,4.853
22.08.2003,1764,1737,9587,8690,,,,,,,702.3,,5.28,4.942
29.08.2003,1759.75,1737,9435,8690,,,,,,,708.6,,4.731,4.725
05.09.2003,1817,1737,9834,8690,,,,,,,714.7,,4.771,4.78
12.09.2003,1786,1737,9820,8690,,,,,,,696.8,,4.766,4.79
19.09.2003,1812.75,1832,10151,9354,,,,,,,696.3,,4.483,4.688
26.09.2003,1790.5,1815.75,10194,9549,,,,,,,697.4,,4.43,4.617
03.10.2003,1831,1846.75,10560,9777,,,,,,,713.5,,4.767,4.872
10.10.2003,1875.75,1891,10974,10190,,,,,,,726.1,,5.652,5.087
17.10.2003,1949,1953.5,10860,10190,,,,,,,722.8,,5.036,4.84
24.10.2003,1955,1958,10880,10460,,,,,,,737.6,,4.786,4.902
31.10.2003,2065,2056.5,11955,11210,,,,,,,745.9,,4.893,5.064
07.11.2003,2090,2055,12020,11285,,,,,,,759,,4.706,5.023
14.11.2003,2096,2065.5,12493,11725,,,,,,,770.8,,5.112,5.077
21.11.2003,1973,1953.5,11776,11201,,,,,,,760.3,,4.634,4.974
28.11.2003,2078.5,2043,12285,11495,,,,,,,767.9,,4.925,4.963
05.12.2003,2133.5,2083.25,12796,11717,,,,,,,790.7,,6.135,5.177
12.12.2003,2159,2083.25,13481,11717,,,,,,,819.4,,7.221,5.474
19.12.2003,2239,2187.5,14910,12705,,,,,,,821.5,,6.982,5.608
